ООО "ПАМЯТЬ" (Крупнейший ритуальный оператор региона);Соловьева Ирина Владимировна;ritual-pamyat.ru;[укажите email с сайта]
ООО "ВОЛГОГРАДСКИЙ ПАМЯТНИК";Королев Алексей Николаевич;vlg-pamyatnik.ru;[укажите email с сайта]
Волгоградская гранитная мастерская "Посейдон";Семенов Дмитрий Игоревич;poseidon-ritual.ru;[укажите email с сайта]
Центр изготовления памятников "Гранит-ВЛГ";Михайлов Сергей Александрович;granit-vlg.ru;[укажите email с сайта]
ООО "РИТУАЛ-СЕРВИС" (Волжский);Павлов Андрей Юрьевич;ritual-volzhsky.ru;[укажите email с сайта]
Мастерская камня "Грани Наследия";Казаков Артем Владимирович;grani-naslediya.ru;[укажите email с сайта]
Торгово-производственная компания "Фабрика Памятников";Никитин Игорь Олегович;fabrika-pamyatnikov34.ru;[укажите email с сайта]
Сеть гранитных мастерских "Каменный Двор";Григорьев Владимир Петрович;kamni-vlg.ru;[укажите email с сайта]
ООО "МОНУМЕНТ-ЮГ";Дмитриев Николай Сергеевич;monument-yug.ru;[укажите email с сайта]
Ритуальное агентство "Вечность" (Производство);Алексеева Елена Николаевна;vechnost-vlg.ru;[укажите email с сайта]
